"","Scientific.Name","Latitude","Longitude","Country"
"494","Adelges tsugae",42.360742,-72.613468,"US"
"495","Adelges tsugae",40.794648,-74.264883,"US"
"496","Adelges tsugae",34.995068,-84.641304,"US"
"497","Adelges tsugae",40.856297,-72.792463,"US"
"498","Adelges tsugae",39.677517,-76.767352,"US"
"499","Adelges tsugae",43.144764,-70.926963,"US"
"500","Adelges tsugae",42.674313,-76.94233,"US"
"501","Adelges tsugae",41.764021,-77.75475,"US"
"502","Adelges tsugae",39.884003,-76.388642,"US"
"503","Adelges tsugae",43.097367,-77.477292,"US"
"504","Adelges tsugae",35.440878,-83.194106,"US"
"505","Adelges tsugae",35.473549,-83.430186,"US"
"506","Adelges tsugae",39.484395,-79.365578,"US"
"507","Adelges tsugae",34.739896,-83.395892,"US"
"508","Adelges tsugae",35.539675,-82.548164,"US"
"509","Adelges tsugae",39.54482,-79.140647,"US"
"510","Adelges tsugae",37.817847,-83.658705,"US"
"511","Adelges tsugae",42.447958,-76.481827,"US"
"512","Adelges tsugae",42.4467,-79.335258,"US"
